Group,Component,Category,Sequence ID,Test Case Type,Pairwise Config Profile,Pairwise Auto Generate Sub Test Case,Test Automation Configuration - Test Sets,Test Case ID,External Test Case ID,Name,Description,Sub Test Case Parameter,Owner,Subsystem Solution,Priority,Test Type,Test Level,Status,Automation,Test Environment,Test Procedures,Step Expected Result,Pre-Condition,Post-Condition,Execution Time,Test Script ID,Operating Systems,Platforms,RTM ID,Portfolio,Add Tags,Item Type,Project,Api ID,Ssh Wrapper Configuration - Ssh Wrapper Steps,
,,,,,,,,LIN_MEDIA-FGST_MSDK_Transcoding-M-H265_8bit_001,,H265_8bit transcoding to H264,,--desktop=$desktop --video_id GSTMSDK_Transcode_H265_H264 --type msdk_transcode --video_compare -ehl --ip_address $ip,,,P2-Medium,Functional,Component,Approved,,"1. Download and install the latest Yocto BSP
2. startx &","1. gst-launch-1.0 filesrc location=/media/Foreman_320x240_5frames.mkv ! matroskademux ! h265parse ! msdkh265dec ! msdkh264enc low-power=1 ! h264parse ! h264parse ! qtmux ! filesink location= /tmp/Foreman_320x240_5frames_transcoded_h264.mp4
2. gst-launch-1.0 filesrc location= /tmp/Foreman_320x240_5frames_transcoded_h264.mp4 ! qtdemux ! h264parse ! msdkh264dec ! msdkvpp ! glimagesink","1. Video encoding success.
2. Video playback will not lag.
3. Video playback has no corruption.
4. System does not hang or freeze.",,,5,0,,,,,"embedded, Client, FuSa, Industrial, Media",TestCase,Project,,,
,,,,,,,,LIN_MEDIA-FGST_MSDK_Transcoding-M-H265_8bit_002,,H265_8bit transcoding to H265_8bit,,--desktop=$desktop --video_id GSTMSDK_Transcode_H265_H265 --type msdk_transcode --video_compare -ehl --ip_address $ip,,,P2-Medium,Functional,Component,Approved,,"1. Download and install the latest Yocto BSP
2. startx &","1. gst-launch-1.0 filesrc location=/media/Foreman_320x240_5frames.mkv ! matroskademux! h265parse ! msdkh265dec ! msdkh265enc low-power=1 ! h265parse ! matroskamux ! filesink location= /tmp/Foreman_320x240_5frames_transcoded_h265.mkv
2. gst-launch-1.0 filesrc location= /tmp/Foreman_320x240_5frames_transcoded_h265.mkv ! matroskademux ! h265parse ! msdkh265dec ! msdkvpp ! glimagesink","1. Video encoding success.
2. Video playback will not lag.
3. Video playback has no corruption.
4. System does not hang or freeze.",,,5,0,,,,,"embedded, Client, FuSa, Industrial, Media",TestCase,Project,,,
,,,,,,,,LIN_MEDIA-FGST_MSDK_Transcoding-M-H265_8bit_003,,H265_8bit transcoding to H265_10bit,,--desktop=$desktop --video_id GSTMSDK_Transcode_H265_H265_10bit --type msdk_transcode_10bit --video_compare -ehl --ip_address $ip,,,P2-Medium,Functional,Component,Approved,,"1. Download and install the latest Yocto BSP
2. startx &","1. gst-launch-1.0 filesrc location=/media/Foreman_320x240_5frames.mkv ! matroskademux! h265parse ! msdkh265dec ! msdkh265enc low-power=1 ! video/x-h265,profile=main-10 ! h265parse ! matroskamux ! filesink location= /tmp/Foreman_320x240_5frames_transcoded_h265-10bit.mkv
2. gst-launch-1.0 filesrc location= /tmp/Foreman_320x240_5frames_transcoded_h265-10bit.mkv ! matroskademux ! h265parse ! msdkh265dec ! msdkvpp ! glimagesink","1. Video encoding success.
2. Video playback will not lag.
3. Video playback has no corruption.
4. System does not hang or freeze.",,,5,0,,,,,"embedded, Client, FuSa, Industrial, Media",TestCase,Project,,,
,,,,,,,,LIN_MEDIA-FGST_MSDK_Transcoding-M-H265_8bit_004,,H265_8bit transcoding to MJPEG,,--desktop=$desktop --video_id GSTMSDK_Transcode_H265_MJPEG --type msdk_transcode --video_compare -ehl --ip_address $ip,,,P2-Medium,Functional,Component,Approved,,"1. Download and install the latest Yocto BSP
2. startx &","1. gst-launch-1.0 filesrc location=/media/Foreman_320x240_5frames.mkv ! matroskademux ! h265parse ! msdkh265dec ! msdkmjpegenc ! jpegparse ! avimux ! filesink location= /tmp/Foreman_320x240_5frames_transcoded_jpeg.avi
2. gst-launch-1.0 filesrc location= /tmp/Foreman_320x240_5frames_transcoded_jpeg.avi ! avidemux ! jpegparse ! msdkmjpegdec ! msdkvpp ! glimagesink","1. Video encoding success.
2. Video playback will not lag.
3. Video playback has no corruption.
4. System does not hang or freeze.",,,5,0,,,,,"embedded, Client, FuSa, Industrial, Media",TestCase,Project,,,
,,,,,,,,LIN_MEDIA-FGST_MSDK_Transcoding-M-H265_10bit_001,,H265_10bit transcoding to H264,,--desktop=$desktop --video_id GSTMSDK_Transcode_H265_10bit_H264 --type msdk_transcode --video_compare -ehl --ip_address $ip,,,P2-Medium,Functional,Component,Approved,,"1. Download and install the latest Yocto BSP
2. startx &","1. gst-launch-1.0 filesrc location=/media/Elecard1_320x240_5frames_h265-10bits.mkv ! matroskademux ! h265parse ! msdkh265dec ! msdkvpp ! video/x-raw,format=NV12 ! msdkh264enc low-power=1 ! h264parse ! h264parse ! qtmux ! filesink location= /tmp/Elecard1_320x240_5frames_h265-10bits_transcoded_h264.mp4
2. gst-launch-1.0 filesrc location= /tmp/Elecard1_320x240_5frames_h265-10bits_transcoded_h264.mp4 ! qtdemux ! h264parse ! msdkh264dec ! msdkvpp ! glimagesink","1. Video encoding success.
2. Video playback will not lag.
3. Video playback has no corruption.
4. System does not hang or freeze.",,,5,0,,,,,"embedded, Client, FuSa, Industrial, Media",TestCase,Project,,,
,,,,,,,,LIN_MEDIA-FGST_MSDK_Transcoding-M-H265_10bit_002,,H265_10bit transcoding to H265_8bit,,--desktop=$desktop --video_id GSTMSDK_Transcode_H265_10bit_H265 --type msdk_transcode --video_compare -ehl --ip_address $ip,,,P2-Medium,Functional,Component,Approved,,"1. Download and install the latest Yocto BSP
2. startx &","1. gst-launch-1.0 filesrc location=/media/Elecard1_320x240_5frames_h265-10bits.mkv ! matroskademux! h265parse ! msdkh265dec ! msdkvpp ! video/x-raw,format=NV12 ! msdkh265enc low-power=1 ! h265parse ! matroskamux ! filesink location= /tmp/Elecard1_320x240_5frames_h265-10bits_transcoded_h265.mkv
2. gst-launch-1.0 filesrc location= /tmp/Elecard1_320x240_5frames_h265-10bits_transcoded_h265.mkv ! matroskademux ! h265parse ! msdkh265dec ! msdkvpp ! glimagesink","1. Video encoding success.
2. Video playback will not lag.
3. Video playback has no corruption.
4. System does not hang or freeze.",,,5,0,,,,,"embedded, Client, FuSa, Industrial, Media",TestCase,Project,,,
,,,,,,,,LIN_MEDIA-FGST_MSDK_Transcoding-M-H265_10bit_003,,H265_10bit transcoding to H265_10bit,,--desktop=$desktop --video_id GSTMSDK_Transcode_H265_10bit_H265_10bit --type msdk_transcode_10bit --video_compare -ehl --ip_address $ip,,,P2-Medium,Functional,Component,Approved,,"1. Download and install the latest Yocto BSP
2. startx &","1. gst-launch-1.0 filesrc location=/media/Elecard1_320x240_5frames_h265-10bits.mkv ! matroskademux! h265parse ! msdkh265dec ! msdkh265enc low-power=1 ! video/x-h265,profile=main-10 ! h265parse ! matroskamux ! filesink location= /tmp/Elecard1_320x240_5frames_h265-10bits_transcoded_h265-10bit.mkv
2. gst-launch-1.0 filesrc location= /tmp/Elecard1_320x240_5frames_h265-10bits_transcoded_h265-10bit.mkv ! matroskademux ! h265parse ! msdkh265dec ! msdkvpp ! glimagesink","1. Video encoding success.
2. Video playback will not lag.
3. Video playback has no corruption.
4. System does not hang or freeze.",,,5,0,,,,,"embedded, Client, FuSa, Industrial, Media",TestCase,Project,,,
,,,,,,,,LIN_MEDIA-FGST_MSDK_Transcoding-M-H265_10bit_004,,H265_10bit transcoding to MJPEG,,--desktop=$desktop --video_id GSTMSDK_Transcode_H265_10bit_MJPEG --type msdk_transcode --video_compare -ehl --ip_address $ip,,,P2-Medium,Functional,Component,Approved,,"1. Download and install the latest Yocto BSP
2. startx &","1. gst-launch-1.0 filesrc location=/media/Elecard1_320x240_5frames_h265-10bits.mkv ! matroskademux ! h265parse ! msdkh265dec ! msdkvpp ! video/x-raw,format=NV12 ! msdkmjpegenc ! jpegparse ! avimux ! filesink location= /tmp/Elecard1_320x240_5frames_h265-10bits_transcoded_jpeg.avi
2. gst-launch-1.0 filesrc location= /tmp/Elecard1_320x240_5frames_h265-10bits_transcoded_jpeg.avi ! avidemux ! jpegparse ! msdkmjpegdec ! msdkvpp ! glimagesink","1. Video encoding success.
2. Video playback will not lag.
3. Video playback has no corruption.
4. System does not hang or freeze.",,,5,0,,,,,"embedded, Client, FuSa, Industrial, Media",TestCase,Project,,,
,,,,,,,,LIN_MEDIA-FGST_MSDK_Transcoding-M-MPEG2_001,,MPEG2 transcoding to H264,,--desktop=$desktop --video_id GSTMSDK_Transcode_MPEG2_H264 --type msdk_transcode --video_compare -ehl --ip_address $ip,,,P2-Medium,Functional,Component,Approved,,"1. Download and install the latest Yocto BSP
2. startx &","1. gst-launch-1.0 filesrc location=/media/Coastguard_320x240_5frames.mpg ! tsdemux ! mpegvideoparse ! msdkmpeg2dec ! msdkh264enc low-power=1 ! h264parse ! h264parse ! qtmux ! filesink location= /tmp/Coastguard_320x240_5frames_transcoded_h264.mp4
2. gst-launch-1.0 filesrc location= /tmp/Coastguard_320x240_5frames_transcoded_h264.mp4 ! qtdemux ! h264parse ! msdkh264dec ! msdkvpp ! glimagesink","1. Video encoding success.
2. Video playback will not lag.
3. Video playback has no corruption.
4. System does not hang or freeze.",,,5,0,,,,,"embedded, Client, FuSa, Industrial, Media",TestCase,Project,,,
,,,,,,,,LIN_MEDIA-FGST_MSDK_Transcoding-M-MPEG2_002,,MPEG2 transcoding to H265_8bit,,--desktop=$desktop --video_id GSTMSDK_Transcode_MPEG2_H265 --type msdk_transcode --video_compare -ehl --ip_address $ip,,,P2-Medium,Functional,Component,Approved,,"1. Download and install the latest Yocto BSP
2. startx &","1. gst-launch-1.0 filesrc location=/media/Coastguard_320x240_5frames.mpg ! tsdemux ! mpegvideoparse ! msdkmpeg2dec ! msdkh265enc low-power=1 ! h265parse ! matroskamux ! filesink location= /tmp/Coastguard_320x240_5frames_transcoded_h265.mkv
2. gst-launch-1.0 filesrc location= /tmp/Coastguard_320x240_5frames_transcoded_h265.mkv ! matroskademux ! h265parse ! msdkh265dec ! msdkvpp ! glimagesink","1. Video encoding success.
2. Video playback will not lag.
3. Video playback has no corruption.
4. System does not hang or freeze.",,,5,0,,,,,"embedded, Client, FuSa, Industrial, Media",TestCase,Project,,,
,,,,,,,,LIN_MEDIA-FGST_MSDK_Transcoding-M-MPEG2_003,,MPEG2 transcoding to H265_10bit,,--desktop=$desktop --video_id GSTMSDK_Transcode_MPEG2_H265_10bit --type msdk_transcode_10bit --video_compare -ehl --ip_address $ip,,,P2-Medium,Functional,Component,Approved,,"1. Download and install the latest Yocto BSP
2. startx &","1. gst-launch-1.0 filesrc location=/media/Coastguard_320x240_5frames.mpg ! tsdemux ! mpegvideoparse ! msdkmpeg2dec ! msdkh265enc low-power=1 ! video/x-h265,profile=main-10 ! h265parse ! matroskamux ! filesink location= /tmp/Coastguard_320x240_5frames_transcoded_h265-10bit.mkv
2. gst-launch-1.0 filesrc location= /tmp/Coastguard_320x240_5frames_transcoded_h265-10bit.mkv ! matroskademux ! h265parse ! msdkh265dec ! msdkvpp ! glimagesink","1. Video encoding success.
2. Video playback will not lag.
3. Video playback has no corruption.
4. System does not hang or freeze.",,,5,0,,,,,"embedded, Client, FuSa, Industrial, Media",TestCase,Project,,,
,,,,,,,,LIN_MEDIA-FGST_MSDK_Transcoding-M-MPEG2_004,,MPEG2 transcoding to MJPEG,,--desktop=$desktop --video_id GSTMSDK_Transcode_MPEG2_MJPEG --type msdk_transcode --video_compare -ehl --ip_address $ip,,,P2-Medium,Functional,Component,Approved,,"1. Download and install the latest Yocto BSP
2. startx &","1. gst-launch-1.0 filesrc location=/media/Coastguard_320x240_5frames.mpg ! tsdemux ! mpegvideoparse ! msdkmpeg2dec ! msdkmjpegenc ! jpegparse ! avimux ! filesink location= /tmp/Coastguard_320x240_5frames_transcoded_jpeg.avi
2. gst-launch-1.0 filesrc location= /tmp/Coastguard_320x240_5frames_transcoded_jpeg.avi ! avidemux ! jpegparse ! msdkmjpegdec ! msdkvpp ! glimagesink","1. Video encoding success.
2. Video playback will not lag.
3. Video playback has no corruption.
4. System does not hang or freeze.",,,5,0,,,,,"embedded, Client, FuSa, Industrial, Media",TestCase,Project,,,
,,,,,,,,LIN_MEDIA-FGST_MSDK_Transcoding-M-VP8_001,,VP8 transcoding to H264,,--desktop=$desktop --video_id GSTMSDK_Transcode_VP8_H264 --type msdk_transcode --video_compare -ehl --ip_address $ip,,,P2-Medium,Functional,Component,Approved,,"1. Download and install the latest Yocto BSP
2. startx &","1. gst-launch-1.0 filesrc location=/media/Puppies_320x240_5frames_vp8.webm ! matroskademux ! msdkvp8dec ! msdkh264enc low-power=1 ! h264parse ! h264parse ! qtmux ! filesink location= /tmp/Puppies_320x240_5frames_vp8_transcoded_h264.mp4
2. gst-launch-1.0 filesrc location= /tmp/Puppies_320x240_5frames_vp8_transcoded_h264.mp4 ! qtdemux ! h264parse ! msdkh264dec ! msdkvpp ! glimagesink","1. Video encoding success.
2. Video playback will not lag.
3. Video playback has no corruption.
4. System does not hang or freeze.",,,5,0,,,,,"embedded, Client, FuSa, Industrial, Media",TestCase,Project,,,
,,,,,,,,LIN_MEDIA-FGST_MSDK_Transcoding-M-VP8_002,,VP8 transcoding to H265_8bit,,--desktop=$desktop --video_id GSTMSDK_Transcode_VP8_H265 --type msdk_transcode --video_compare -ehl --ip_address $ip,,,P2-Medium,Functional,Component,Approved,,"1. Download and install the latest Yocto BSP
2. startx &","1. gst-launch-1.0 filesrc location=/media/Puppies_320x240_5frames_vp8.webm ! matroskademux ! msdkvp8dec ! msdkh265enc low-power=1 ! h265parse ! matroskamux ! filesink location= /tmp/Puppies_320x240_5frames_vp8_transcoded_h265.mkv
2. gst-launch-1.0 filesrc location= /tmp/Puppies_320x240_5frames_vp8_transcoded_h265.mkv ! matroskademux ! h265parse ! msdkh265dec ! msdkvpp ! glimagesink","1. Video encoding success.
2. Video playback will not lag.
3. Video playback has no corruption.
4. System does not hang or freeze.",,,5,0,,,,,"embedded, Client, FuSa, Industrial, Media",TestCase,Project,,,
,,,,,,,,LIN_MEDIA-FGST_MSDK_Transcoding-M-VP8_003,,VP8 transcoding to H265_10bit,,--desktop=$desktop --video_id GSTMSDK_Transcode_VP8_H265_10bit --type msdk_transcode_10bit --video_compare -ehl --ip_address $ip,,,P2-Medium,Functional,Component,Approved,,"1. Download and install the latest Yocto BSP
2. startx &","1. gst-launch-1.0 filesrc location=/media/Puppies_320x240_5frames_vp8.webm ! matroskademux ! msdkvp8dec ! msdkh265enc low-power=1 ! video/x-h265,profile=main-10 ! h265parse ! matroskamux ! filesink location= /tmp/Puppies_320x240_5frames_vp8_transcoded_h265-10bit.mkv
2. gst-launch-1.0 filesrc location= /tmp/Puppies_320x240_5frames_vp8_transcoded_h265-10bit.mkv ! matroskademux ! h265parse ! msdkh265dec ! msdkvpp ! glimagesink","1. Video encoding success.
2. Video playback will not lag.
3. Video playback has no corruption.
4. System does not hang or freeze.",,,5,0,,,,,"embedded, Client, FuSa, Industrial, Media",TestCase,Project,,,
,,,,,,,,LIN_MEDIA-FGST_MSDK_Transcoding-M-VP8_004,,VP8 transcoding to MJPEG,,--desktop=$desktop --video_id GSTMSDK_Transcode_VP8_MJPEG --type msdk_transcode --video_compare -ehl --ip_address $ip,,,P2-Medium,Functional,Component,Approved,,"1. Download and install the latest Yocto BSP
2. startx &","1. gst-launch-1.0 filesrc location=/media/Puppies_320x240_5frames_vp8.webm ! matroskademux ! msdkvp8dec ! msdkmjpegenc ! jpegparse ! avimux ! filesink location= /tmp/Puppies_320x240_5frames_vp8_transcoded_jpeg.avi
2. gst-launch-1.0 filesrc location= /tmp/Puppies_320x240_5frames_vp8_transcoded_jpeg.avi ! avidemux ! jpegparse ! msdkmjpegdec ! msdkvpp ! glimagesink","1. Video encoding success.
2. Video playback will not lag.
3. Video playback has no corruption.
4. System does not hang or freeze.",,,5,0,,,,,"embedded, Client, FuSa, Industrial, Media",TestCase,Project,,,
,,,,,,,,LIN_MEDIA-FGST_MSDK_Transcoding-M-VP9_8bit_001,,VP9_8bit transcoding to H264,,--desktop=$desktop --video_id GSTMSDK_Transcode_VP9_H264 --type msdk_transcode --video_compare -ehl --ip_address $ip,,,P2-Medium,Functional,Component,Approved,,"1. Download and install the latest Yocto BSP
2. startx &","1. gst-launch-1.0 filesrc location=/media/Coastguard_320x240_5frames_vp9.webm ! matroskademux ! msdkvp9dec ! msdkh264enc low-power=1 rate-control=cqp ! h264parse ! h264parse ! qtmux ! filesink location= /tmp/Coastguard_320x240_5frames_vp9_transcoded_h264.mp4
2. gst-launch-1.0 filesrc location= /tmp/Coastguard_320x240_5frames_vp9_transcoded_h264.mp4 ! qtdemux ! h264parse ! msdkh264dec ! msdkvpp ! glimagesink","1. Video encoding success.
2. Video playback will not lag.
3. Video playback has no corruption.
4. System does not hang or freeze.",,,5,0,,,,,"embedded, Client, FuSa, Industrial, Media",TestCase,Project,,,
,,,,,,,,LIN_MEDIA-FGST_MSDK_Transcoding-M-VP9_8bit_002,,VP9_8bit transcoding to H265_8bit,,--desktop=$desktop --video_id GSTMSDK_Transcode_VP9_H265 --type msdk_transcode --video_compare -ehl --ip_address $ip,,,P2-Medium,Functional,Component,Approved,,"1. Download and install the latest Yocto BSP
2. startx &","1. gst-launch-1.0 filesrc location=/media/Coastguard_320x240_5frames_vp9.webm ! matroskademux ! msdkvp9dec ! msdkh265enc low-power=1 ! h265parse ! matroskamux ! filesink location= /tmp/Coastguard_320x240_5frames_vp9_transcoded_h265.mkv
2. gst-launch-1.0 filesrc location= /tmp/Coastguard_320x240_5frames_vp9_transcoded_h265.mkv ! matroskademux ! h265parse ! msdkh265dec ! msdkvpp ! glimagesink","1. Video encoding success.
2. Video playback will not lag.
3. Video playback has no corruption.
4. System does not hang or freeze.",,,5,0,,,,,"embedded, Client, FuSa, Industrial, Media",TestCase,Project,,,
,,,,,,,,LIN_MEDIA-FGST_MSDK_Transcoding-M-VP9_8bit_003,,VP9_8bit transcoding to H265_10bit,,--desktop=$desktop --video_id GSTMSDK_Transcode_VP9_H265_10bit --type msdk_transcode_10bit --video_compare -ehl --ip_address $ip,,,P2-Medium,Functional,Component,Approved,,"1. Download and install the latest Yocto BSP
2. startx &","1. gst-launch-1.0 filesrc location=/media/Coastguard_320x240_5frames_vp9.webm ! matroskademux ! msdkvp9dec ! msdkh265enc low-power=1 ! video/x-h265,profile=main-10 ! h265parse ! matroskamux ! filesink location= /tmp/Coastguard_320x240_5frames_vp9_transcoded_h265-10bit.mkv
2. gst-launch-1.0 filesrc location= /tmp/Coastguard_320x240_5frames_vp9_transcoded_h265-10bit.mkv ! matroskademux ! h265parse ! msdkh265dec ! msdkvpp ! glimagesink","1. Video encoding success.
2. Video playback will not lag.
3. Video playback has no corruption.
4. System does not hang or freeze.",,,5,0,,,,,"embedded, Client, FuSa, Industrial, Media",TestCase,Project,,,
,,,,,,,,LIN_MEDIA-FGST_MSDK_Transcoding-M-VP9_8bit_004,,VP9_8bit transcoding to MJPEG,,--desktop=$desktop --video_id GSTMSDK_Transcode_VP9_MJPEG --type msdk_transcode --video_compare -ehl --ip_address $ip,,,P2-Medium,Functional,Component,Approved,,"1. Download and install the latest Yocto BSP
2. startx &","1. gst-launch-1.0 filesrc location=/media/Coastguard_320x240_5frames_vp9.webm ! matroskademux ! msdkvp9dec ! msdkmjpegenc ! jpegparse ! avimux ! filesink location= /tmp/Coastguard_320x240_5frames_vp9_transcoded_jpeg.avi
2. gst-launch-1.0 filesrc location= /tmp/Coastguard_320x240_5frames_vp9_transcoded_jpeg.avi ! avidemux ! jpegparse ! msdkmjpegdec ! msdkvpp ! glimagesink","1. Video encoding success.
2. Video playback will not lag.
3. Video playback has no corruption.
4. System does not hang or freeze.",,,5,0,,,,,"embedded, Client, FuSa, Industrial, Media",TestCase,Project,,,
,,,,,,,,LIN_MEDIA-FGST_MSDK_Transcoding-M-VP9_10bit_001,,VP9_10bit transcoding to H264,,--desktop=$desktop --video_id GSTMSDK_Transcode_VP9_10bit_H264 --type msdk_transcode --video_compare -ehl --ip_address $ip,,,P2-Medium,Functional,Component,Approved,,"1. Download and install the latest Yocto BSP
2. startx &","1. gst-launch-1.0 filesrc location=/media/Coastguard_320x240_5frames_vp9_10bit.webm ! matroskademux ! msdkvp9dec ! msdkvpp ! video/x-raw,format=NV12 ! msdkh264enc low-power=1 ! h264parse ! h264parse ! qtmux ! filesink location= /tmp/Coastguard_320x240_5frames_vp9_10bit_transcoded_h264.mp4
2. gst-launch-1.0 filesrc location= /tmp/Coastguard_320x240_5frames_vp9_10bit_transcoded_h264.mp4 ! qtdemux ! h264parse ! msdkh264dec ! msdkvpp ! glimagesink","1. Video encoding success.
2. Video playback will not lag.
3. Video playback has no corruption.
4. System does not hang or freeze.",,,5,0,,,,,"embedded, Client, FuSa, Industrial, Media",TestCase,Project,,,
,,,,,,,,LIN_MEDIA-FGST_MSDK_Transcoding-M-VP9_10bit_002,,VP9_10bit transcoding to H265_8bit,,--desktop=$desktop --video_id GSTMSDK_Transcode_VP9_10bit_H265 --type msdk_transcode --video_compare -ehl --ip_address $ip,,,P2-Medium,Functional,Component,Approved,,"1. Download and install the latest Yocto BSP
2. startx &","1. gst-launch-1.0 filesrc location=/media/Coastguard_320x240_5frames_vp9_10bit.webm ! matroskademux ! msdkvp9dec ! msdkvpp ! video/x-raw,format=NV12 ! msdkh265enc low-power=1 ! h265parse ! matroskamux ! filesink location= /tmp/Coastguard_320x240_5frames_vp9_10bit_transcoded_h265.mkv
2. gst-launch-1.0 filesrc location= /tmp/Coastguard_320x240_5frames_vp9_10bit_transcoded_h265.mkv ! matroskademux ! h265parse ! msdkh265dec ! msdkvpp ! glimagesink","1. Video encoding success.
2. Video playback will not lag.
3. Video playback has no corruption.
4. System does not hang or freeze.",,,5,0,,,,,"embedded, Client, FuSa, Industrial, Media",TestCase,Project,,,
,,,,,,,,LIN_MEDIA-FGST_MSDK_Transcoding-M-VP9_10bit_003,,VP9_10bit transcoding to H265_10bit,,--desktop=$desktop --video_id GSTMSDK_Transcode_VP9_10bit_H265_10bit --type msdk_transcode_10bit --video_compare -ehl --ip_address $ip,,,P2-Medium,Functional,Component,Approved,,"1. Download and install the latest Yocto BSP
2. startx &","1. gst-launch-1.0 filesrc location=/media/Coastguard_320x240_5frames_vp9_10bit.webm ! matroskademux ! msdkvp9dec ! msdkh265enc low-power=1 ! video/x-h265,profile=main-10 ! h265parse ! matroskamux ! filesink location= /tmp/Coastguard_320x240_5frames_vp9_10bit_transcoded_h265-10bit.mkv
2. gst-launch-1.0 filesrc location= /tmp/Coastguard_320x240_5frames_vp9_10bit_transcoded_h265-10bit.mkv ! matroskademux ! h265parse ! msdkh265dec ! msdkvpp ! glimagesink","1. Video encoding success.
2. Video playback will not lag.
3. Video playback has no corruption.
4. System does not hang or freeze.",,,5,0,,,,,"embedded, Client, FuSa, Industrial, Media",TestCase,Project,,,
,,,,,,,,LIN_MEDIA-FGST_MSDK_Transcoding-M-VP9_10bit_004,,VP9_10bit transcoding to MJPEG,,--desktop=$desktop --video_id GSTMSDK_Transcode_VP9_10bit_MJPEG --type msdk_transcode --video_compare -ehl --ip_address $ip,,,P2-Medium,Functional,Component,Approved,,"1. Download and install the latest Yocto BSP
2. startx &","1. gst-launch-1.0 filesrc location=/media/Coastguard_320x240_5frames_vp9_10bit.webm ! matroskademux ! msdkvp9dec ! msdkvpp ! video/x-raw,format=NV12 ! msdkmjpegenc ! jpegparse ! avimux ! filesink location= /tmp/Coastguard_320x240_5frames_vp9_10bit_transcoded_jpeg.avi
2. gst-launch-1.0 filesrc location= /tmp/Coastguard_320x240_5frames_vp9_10bit_transcoded_jpeg.avi ! avidemux ! jpegparse ! msdkmjpegdec ! msdkvpp ! glimagesink","1. Video encoding success.
2. Video playback will not lag.
3. Video playback has no corruption.
4. System does not hang or freeze.",,,5,0,,,,,"embedded, Client, FuSa, Industrial, Media",TestCase,Project,,,
,,,,,,,,LIN_MEDIA-FGST_MSDK_Transcoding-M-VC1_001,,VC1 transcoding to H264,,--desktop=$desktop --video_id GSTMSDK_Transcode_VC1_H264 --type msdk_transcode --video_compare -ehl --ip_address $ip,,,P2-Medium,Functional,Component,Approved,,"1. Download and install the latest Yocto BSP
2. startx &","1. gst-launch-1.0 filesrc location=/media/Foreman_320x240_5frames.wmv ! asfdemux ! vc1parse ! msdkvc1dec ! msdkh264enc low-power=1 ! h264parse ! h264parse ! qtmux ! filesink location= /tmp/Foreman_320x240_5frames_transcoded_h264.mp4
2. gst-launch-1.0 filesrc location= /tmp/Foreman_320x240_5frames_transcoded_h264.mp4 ! qtdemux ! h264parse ! msdkh264dec ! msdkvpp ! glimagesink","1. Video encoding success.
2. Video playback will not lag.
3. Video playback has no corruption.
4. System does not hang or freeze.",,,5,0,,,,,"embedded, Client, FuSa, Industrial, Media",TestCase,Project,,,
,,,,,,,,LIN_MEDIA-FGST_MSDK_Transcoding-M-VC1_002,,VC1 transcoding to H265_8bit,,--desktop=$desktop --video_id GSTMSDK_Transcode_VC1_H265 --type msdk_transcode --video_compare -ehl --ip_address $ip,,,P2-Medium,Functional,Component,Approved,,"1. Download and install the latest Yocto BSP
2. startx &","1. gst-launch-1.0 filesrc location=/media/Foreman_320x240_5frames.wmv ! asfdemux ! vc1parse ! msdkvc1dec ! msdkh265enc low-power=1 ! h265parse ! matroskamux ! filesink location= /tmp/Foreman_320x240_5frames_transcoded_h265.mkv
2. gst-launch-1.0 filesrc location= /tmp/Foreman_320x240_5frames_transcoded_h265.mkv ! matroskademux ! h265parse ! msdkh265dec ! msdkvpp ! glimagesink","1. Video encoding success.
2. Video playback will not lag.
3. Video playback has no corruption.
4. System does not hang or freeze.",,,5,0,,,,,"embedded, Client, FuSa, Industrial, Media",TestCase,Project,,,
,,,,,,,,LIN_MEDIA-FGST_MSDK_Transcoding-M-VC1_003,,VC1 transcoding to H265_10bit,,--desktop=$desktop --video_id GSTMSDK_Transcode_VC1_H265_10bit --type msdk_transcode_10bit --video_compare -ehl --ip_address $ip,,,P2-Medium,Functional,Component,Approved,,"1. Download and install the latest Yocto BSP
2. startx &","1. gst-launch-1.0 filesrc location=/media/Foreman_320x240_5frames.wmv ! asfdemux ! vc1parse ! msdkvc1dec ! msdkh265enc low-power=1 ! video/x-h265,profile=main-10 ! h265parse ! matroskamux ! filesink location= /tmp/Foreman_320x240_5frames_transcoded_h265-10bit.mkv
2. gst-launch-1.0 filesrc location= /tmp/Foreman_320x240_5frames_transcoded_h265-10bit.mkv ! matroskademux ! h265parse ! msdkh265dec ! msdkvpp ! glimagesink","1. Video encoding success.
2. Video playback will not lag.
3. Video playback has no corruption.
4. System does not hang or freeze.",,,5,0,,,,,"embedded, Client, FuSa, Industrial, Media",TestCase,Project,,,
